category,word,source
afinn_negative,abandon,afinn_vader_manual
afinn_negative,abandoned,afinn_vader_manual
afinn_negative,abandons,afinn_vader_manual
afinn_negative,abducted,afinn_vader_manual
afinn_negative,abduction,afinn_vader_manual
afinn_negative,abductions,afinn_vader_manual
afinn_negative,absentee,afinn_vader_manual
afinn_negative,absentees,afinn_vader_manual
afinn_negative,accident,afinn_vader_manual
afinn_negative,accidental,afinn_vader_manual
afinn_negative,accidentally,afinn_vader_manual
afinn_negative,accidents,afinn_vader_manual
afinn_negative,accusation,afinn_vader_manual
afinn_negative,accusations,afinn_vader_manual
afinn_negative,accuse,afinn_vader_manual
afinn_negative,accused,afinn_vader_manual
afinn_negative,accuses,afinn_vader_manual
afinn_negative,accusing,afinn_vader_manual
afinn_negative,ache,afinn_vader_manual
afinn_negative,aching,afinn_vader_manual
afinn_negative,admit,afinn_vader_manual
afinn_negative,admits,afinn_vader_manual
afinn_negative,admitted,afinn_vader_manual
afinn_negative,admonished,afinn_vader_manual
afinn_negative,adversary,afinn_vader_manual
afinn_negative,affected,afinn_vader_manual
afinn_negative,afflicted,afinn_vader_manual
afinn_negative,affronted,afinn_vader_manual
afinn_negative,afraid,afinn_vader_manual
afinn_negative,aggravate,afinn_vader_manual
afinn_negative,aggravated,afinn_vader_manual
afinn_negative,aggravates,afinn_vader_manual
afinn_negative,aggravating,afinn_vader_manual
afinn_negative,aggression,afinn_vader_manual
afinn_negative,aggressions,afinn_vader_manual
afinn_negative,aggressive,afinn_vader_manual
afinn_negative,aggressiveness,afinn_vader_manual
afinn_negative,aghast,afinn_vader_manual
afinn_negative,alarm,afinn_vader_manual
afinn_negative,alarmed,afinn_vader_manual
afinn_negative,alarmists,afinn_vader_manual
afinn_negative,alas,afinn_vader_manual
afinn_negative,alert,afinn_vader_manual
afinn_negative,alienation,afinn_vader_manual
afinn_negative,allegation,afinn_vader_manual
afinn_negative,allergic,afinn_vader_manual
afinn_negative,alone,afinn_vader_manual
afinn_negative,ambivalent,afinn_vader_manual
afinn_negative,animosity,afinn_vader_manual
afinn_negative,annoy,afinn_vader_manual
afinn_negative,annoyance,afinn_vader_manual
afinn_negative,annoyed,afinn_vader_manual
afinn_negative,annoying,afinn_vader_manual
afinn_negative,annoys,afinn_vader_manual
afinn_negative,antagonistic,afinn_vader_manual
afinn_negative,anti,afinn_vader_manual
afinn_negative,anxiety,afinn_vader_manual
afinn_negative,anxious,afinn_vader_manual
afinn_negative,apocalyptic,afinn_vader_manual
afinn_negative,apologise,afinn_vader_manual
afinn_negative,apologised,afinn_vader_manual
afinn_negative,apologises,afinn_vader_manual
afinn_negative,apologising,afinn_vader_manual
afinn_negative,apologize,afinn_vader_manual
afinn_negative,apologized,afinn_vader_manual
afinn_negative,apologizes,afinn_vader_manual
afinn_negative,apologizing,afinn_vader_manual
afinn_negative,apology,afinn_vader_manual
afinn_negative,appalled,afinn_vader_manual
afinn_negative,appalling,afinn_vader_manual
afinn_negative,apprehensive,afinn_vader_manual
afinn_negative,arrest,afinn_vader_manual
afinn_negative,arrests,afinn_vader_manual
afinn_negative,arrogant,afinn_vader_manual
afinn_negative,ashamed,afinn_vader_manual
afinn_negative,assault,afinn_vader_manual
afinn_negative,assaults,afinn_vader_manual
afinn_negative,attack,afinn_vader_manual
afinn_negative,attacked,afinn_vader_manual
afinn_negative,attacking,afinn_vader_manual
afinn_negative,attacks,afinn_vader_manual
afinn_negative,avenger,afinn_vader_manual
afinn_negative,avert,afinn_vader_manual
afinn_negative,averted,afinn_vader_manual
afinn_negative,averts,afinn_vader_manual
afinn_negative,avoid,afinn_vader_manual
afinn_negative,avoided,afinn_vader_manual
afinn_negative,avoids,afinn_vader_manual
afinn_negative,await,afinn_vader_manual
afinn_negative,awaited,afinn_vader_manual
afinn_negative,awaits,afinn_vader_manual
afinn_negative,awkward,afinn_vader_manual
afinn_negative,axe,afinn_vader_manual
afinn_negative,axed,afinn_vader_manual
afinn_negative,bailout,afinn_vader_manual
afinn_negative,bamboozle,afinn_vader_manual
afinn_negative,bamboozled,afinn_vader_manual
afinn_negative,bamboozles,afinn_vader_manual
afinn_negative,ban,afinn_vader_manual
afinn_negative,banish,afinn_vader_manual
afinn_negative,banned,afinn_vader_manual
afinn_negative,barbarian,afinn_vader_manual
afinn_negative,barbaric,afinn_vader_manual
afinn_negative,barrier,afinn_vader_manual
afinn_negative,battle,afinn_vader_manual
afinn_negative,battled,afinn_vader_manual
afinn_negative,battles,afinn_vader_manual
afinn_negative,battling,afinn_vader_manual
afinn_negative,beaten,afinn_vader_manual
afinn_negative,beating,afinn_vader_manual
afinn_negative,belittle,afinn_vader_manual
afinn_negative,belittled,afinn_vader_manual
afinn_negative,bereave,afinn_vader_manual
afinn_negative,bereaved,afinn_vader_manual
afinn_negative,bereaves,afinn_vader_manual
afinn_negative,bereaving,afinn_vader_manual
afinn_negative,bias,afinn_vader_manual
afinn_negative,biased,afinn_vader_manual
afinn_negative,bitter,afinn_vader_manual
afinn_negative,bitterest,afinn_vader_manual
afinn_negative,bitterly,afinn_vader_manual
afinn_negative,bizarre,afinn_vader_manual
afinn_negative,blah,afinn_vader_manual
afinn_negative,blame,afinn_vader_manual
afinn_negative,blamed,afinn_vader_manual
afinn_negative,blames,afinn_vader_manual
afinn_negative,blaming,afinn_vader_manual
afinn_negative,blind,afinn_vader_manual
afinn_negative,bloated,afinn_vader_manual
afinn_negative,block,afinn_vader_manual
afinn_negative,blockade,afinn_vader_manual
afinn_negative,blocked,afinn_vader_manual
afinn_negative,blocking,afinn_vader_manual
afinn_negative,blocks,afinn_vader_manual
afinn_negative,blurry,afinn_vader_manual
afinn_negative,bomb,afinn_vader_manual
afinn_negative,bore,afinn_vader_manual
afinn_negative,bored,afinn_vader_manual
afinn_negative,bother,afinn_vader_manual
afinn_negative,bothered,afinn_vader_manual
afinn_negative,bothers,afinn_vader_manual
afinn_negative,bothersome,afinn_vader_manual
afinn_negative,boycott,afinn_vader_manual
afinn_negative,boycotted,afinn_vader_manual
afinn_negative,boycotting,afinn_vader_manual
afinn_negative,boycotts,afinn_vader_manual
afinn_negative,breach,afinn_vader_manual
afinn_negative,broke,afinn_vader_manual
afinn_negative,broken,afinn_vader_manual
afinn_negative,brooding,afinn_vader_manual
afinn_negative,bullied,afinn_vader_manual
afinn_negative,bully,afinn_vader_manual
afinn_negative,bullying,afinn_vader_manual
afinn_negative,bummer,afinn_vader_manual
afinn_negative,burden,afinn_vader_manual
afinn_negative,burdened,afinn_vader_manual
afinn_negative,burdening,afinn_vader_manual
afinn_negative,burdens,afinn_vader_manual
afinn_negative,burglar,afinn_vader_manual
afinn_negative,burglary,afinn_vader_manual
afinn_negative,cancel,afinn_vader_manual
afinn_negative,cancelled,afinn_vader_manual
afinn_negative,cancelling,afinn_vader_manual
afinn_negative,cancels,afinn_vader_manual
afinn_negative,cancer,afinn_vader_manual
afinn_negative,careless,afinn_vader_manual
afinn_negative,casualty,afinn_vader_manual
afinn_negative,cautious,afinn_vader_manual
afinn_negative,censor,afinn_vader_manual
afinn_negative,censored,afinn_vader_manual
afinn_negative,censors,afinn_vader_manual
afinn_negative,chagrin,afinn_vader_manual
afinn_negative,chagrined,afinn_vader_manual
afinn_negative,challenge,afinn_vader_manual
afinn_negative,chaos,afinn_vader_manual
afinn_negative,chaotic,afinn_vader_manual
afinn_negative,charges,afinn_vader_manual
afinn_negative,cheerless,afinn_vader_manual
afinn_negative,childish,afinn_vader_manual
afinn_negative,chilling,afinn_vader_manual
afinn_negative,choke,afinn_vader_manual
afinn_negative,choked,afinn_vader_manual
afinn_negative,chokes,afinn_vader_manual
afinn_negative,choking,afinn_vader_manual
afinn_negative,clash,afinn_vader_manual
afinn_negative,clouded,afinn_vader_manual
afinn_negative,clueless,afinn_vader_manual
afinn_negative,cocky,afinn_vader_manual
afinn_negative,coerced,afinn_vader_manual
afinn_negative,coercion,afinn_vader_manual
afinn_negative,collapse,afinn_vader_manual
afinn_negative,collapsed,afinn_vader_manual
afinn_negative,collapses,afinn_vader_manual
afinn_negative,collapsing,afinn_vader_manual
afinn_negative,collide,afinn_vader_manual
afinn_negative,collides,afinn_vader_manual
afinn_negative,colliding,afinn_vader_manual
afinn_negative,collision,afinn_vader_manual
afinn_negative,collisions,afinn_vader_manual
afinn_negative,combat,afinn_vader_manual
afinn_negative,combats,afinn_vader_manual
afinn_negative,complacent,afinn_vader_manual
afinn_negative,complain,afinn_vader_manual
afinn_negative,complained,afinn_vader_manual
afinn_negative,complaining,afinn_vader_manual
afinn_negative,complains,afinn_vader_manual
afinn_negative,complaint,afinn_vader_manual
afinn_negative,complaints,afinn_vader_manual
afinn_negative,concerned,afinn_vader_manual
afinn_negative,condemn,afinn_vader_manual
afinn_negative,condemnation,afinn_vader_manual
afinn_negative,condemned,afinn_vader_manual
afinn_negative,condemns,afinn_vader_manual
afinn_negative,conflict,afinn_vader_manual
afinn_negative,conflicting,afinn_vader_manual
afinn_negative,conflictive,afinn_vader_manual
afinn_negative,conflicts,afinn_vader_manual
afinn_negative,confuse,afinn_vader_manual
afinn_negative,confused,afinn_vader_manual
afinn_negative,confusing,afinn_vader_manual
afinn_negative,constipation,afinn_vader_manual
afinn_negative,constrained,afinn_vader_manual
afinn_negative,contagion,afinn_vader_manual
afinn_negative,contagions,afinn_vader_manual
afinn_negative,contagious,afinn_vader_manual
afinn_negative,contaminate,afinn_vader_manual
afinn_negative,contaminated,afinn_vader_manual
afinn_negative,contamination,afinn_vader_manual
afinn_negative,contempt,afinn_vader_manual
afinn_negative,contemptible,afinn_vader_manual
